Student_ID,Age,Gender,Academic_Performance,AI_Exposure_Level,EI_Score,Preferred_AI_Feature,Satisfaction_With_AI_Interaction,Emotion_Recognition_By_AI_Accuracy (%),Willingness_To_Use_EI_Aware_AI_Tools,Simulated_Response,Sentiment,HERA_Recommendation
S1196,25,Male,10,Low,68,Feedback System,5,51.34,Maybe,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1197,23,Male,5.24,Medium,49,Feedback System,2,69.02,Yes,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1198,17,Other,9.89,Medium,56,TutorBot,2,55.31,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1199,17,Other,7.03,High,41,Chatbot,2,76.57,Yes,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1200,25,Female,9.35,High,45,Feedback System,4,69.79,Maybe,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1201,27,Female,8.91,High,97,TutorBot,4,80.66,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1202,25,Male,7.84,High,44,Chatbot,5,90.28,Yes,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1203,20,Other,8.69,High,67,Emotional Support Bot,4,64.98,No,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1204,29,Other,9.39,Medium,80,TutorBot,5,98.11,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1205,25,Other,7.02,High,44,Chatbot,4,76.78,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1206,19,Female,6.64,Low,57,TutorBot,1,80.91,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1207,23,Female,8.34,Low,65,Chatbot,1,84.03,No,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1208,22,Other,9.04,Medium,59,Chatbot,5,83.34,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1209,24,Other,8.81,Low,80,Emotional Support Bot,4,75.55,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1210,27,Other,8.99,Medium,88,TutorBot,4,71.44,Maybe,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1211,25,Female,7.18,Medium,66,Feedback System,2,52.69,Maybe,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1212,21,Other,9.09,Low,88,Emotional Support Bot,3,51.1,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1213,17,Other,5.6,High,51,Emotional Support Bot,5,67.9,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1214,19,Male,7.72,Low,46,Chatbot,3,66.68,Maybe,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1215,26,Male,5.03,Low,98,Feedback System,3,69.38,Maybe,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1216,28,Female,6.62,Medium,42,TutorBot,5,56.92,Maybe,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1217,24,Other,6.83,Low,49,Feedback System,4,86.91,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1218,27,Other,6.98,Medium,73,Feedback System,5,92.85,Yes,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1219,22,Male,8.48,High,64,Feedback System,3,96.94,Yes,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1220,24,Female,6.94,High,74,Feedback System,4,74.62,Yes,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1221,25,Male,7.24,High,55,Feedback System,1,85.04,Yes,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1222,20,Male,6.19,Low,41,Chatbot,5,92.78,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1223,17,Male,6.87,Medium,99,Chatbot,5,70.91,Yes,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1224,17,Male,6.14,High,63,Emotional Support Bot,4,65.47,Maybe,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1225,26,Other,5.37,Medium,49,Chatbot,1,96.84,Maybe,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1226,20,Other,8.02,Medium,77,Emotional Support Bot,1,75.78,Yes,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1227,28,Male,8.34,High,61,Emotional Support Bot,4,74.86,Maybe,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1228,23,Female,8.1,High,65,TutorBot,2,58.92,No,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1229,18,Female,7.32,Medium,82,Feedback System,5,55.41,Yes,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1230,19,Female,6.9,High,94,Chatbot,5,92.11,Yes,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1231,17,Female,9.32,Medium,78,TutorBot,3,80.71,No,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1232,21,Male,7.6,Medium,66,Chatbot,4,66.29,Maybe,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1233,17,Other,7.4,High,68,Emotional Support Bot,3,59.59,No,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1234,24,Female,5.13,Low,86,Chatbot,3,77.77,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1235,17,Male,6.71,High,77,Feedback System,1,79.2,Maybe,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1236,27,Female,6.9,Low,59,Emotional Support Bot,5,60.35,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1237,17,Female,6.99,Medium,66,Emotional Support Bot,3,92.57,Maybe,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1238,18,Male,7.9,Medium,80,TutorBot,1,54.21,Maybe,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1239,18,Other,7.67,Low,93,Feedback System,4,67.8,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1240,28,Other,8.04,Medium,59,Emotional Support Bot,3,84.02,Maybe,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1241,22,Male,8.82,Low,83,Feedback System,5,63.71,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1242,23,Other,9.06,Low,58,Chatbot,3,91.38,Maybe,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1243,21,Male,8.59,Medium,59,Feedback System,4,86.99,Yes,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1244,17,Male,9.78,Low,74,Emotional Support Bot,3,89.45,Maybe,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1245,17,Male,5.09,High,86,TutorBot,5,55.96,Maybe,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1246,19,Other,5.98,High,41,Emotional Support Bot,1,57.03,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1247,18,Male,5.04,Medium,69,Feedback System,5,64.32,Maybe,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1248,21,Female,8.24,Medium,92,Feedback System,1,75.9,Yes,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1249,28,Other,9.49,Low,73,Emotional Support Bot,2,87.4,Yes,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1250,26,Other,6.22,Low,61,Feedback System,5,91.83,Maybe,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1251,22,Other,9.64,Low,42,Chatbot,5,85.22,Maybe,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1252,23,Other,5.3,Low,45,Emotional Support Bot,4,96.43,Yes,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1253,20,Female,9.67,High,54,TutorBot,3,86.94,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1254,23,Other,6.76,High,66,Emotional Support Bot,1,65.31,Yes,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1255,27,Other,5.51,Medium,49,Chatbot,1,63.25,Yes,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1256,24,Male,7.43,Low,48,Chatbot,4,84.81,Maybe,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1257,27,Other,6.28,Low,72,Chatbot,4,59.64,Maybe,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1258,17,Female,6.42,Medium,71,Chatbot,3,54.64,Yes,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1259,22,Female,6.54,Low,87,Chatbot,3,76.61,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1260,24,Female,9.02,Low,45,TutorBot,5,91.08,Yes,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1261,21,Female,7.7,Low,80,Feedback System,2,55.07,Yes,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1262,20,Other,6.56,Low,98,Chatbot,3,89.59,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1263,18,Other,8.05,Low,75,Chatbot,4,90.58,Yes,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1264,22,Female,8.58,Medium,98,Emotional Support Bot,3,74.11,Yes,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1265,22,Female,6.36,Low,99,TutorBot,1,52.87,Maybe,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1266,27,Other,7.07,Medium,41,TutorBot,2,58.73,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1267,17,Female,5.61,Low,68,Feedback System,5,85.37,Maybe,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1268,25,Male,5.91,High,43,TutorBot,1,85.59,Maybe,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1269,28,Female,8.41,High,40,Emotional Support Bot,1,94.92,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1270,27,Female,5.91,High,58,Emotional Support Bot,2,79.13,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1271,22,Male,7.63,High,65,Feedback System,5,56.21,Yes,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1272,29,Male,8.55,Medium,64,Emotional Support Bot,4,56.07,Maybe,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1273,19,Other,5.53,Medium,49,Chatbot,5,86.06,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1274,20,Other,7.84,Low,92,Chatbot,3,59.19,Maybe,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1275,28,Male,6.28,High,54,Emotional Support Bot,1,66.42,Maybe,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1276,27,Male,9.81,Medium,98,Feedback System,3,74.36,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1277,20,Other,7.42,Low,61,TutorBot,4,51.24,Yes,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1278,19,Female,9.03,Low,90,Feedback System,3,62.44,Maybe,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1279,26,Male,7.75,Medium,87,TutorBot,5,70.39,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1280,19,Other,5.22,High,60,Emotional Support Bot,3,63.98,Yes,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1281,19,Female,8.17,Low,98,Emotional Support Bot,4,56.82,Maybe,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1282,20,Male,9.76,High,95,Chatbot,4,86.4,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1283,23,Female,8.01,High,61,TutorBot,4,90.66,Maybe,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1284,20,Other,9.1,High,75,Feedback System,5,62.87,No,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1285,25,Male,9.42,Low,73,Emotional Support Bot,4,88.72,No,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1286,17,Female,6.14,High,69,Feedback System,1,69.28,Maybe,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1287,24,Male,6.06,Low,64,Chatbot,4,75.33,Maybe,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1288,23,Female,8.05,High,84,TutorBot,3,92.8,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1289,18,Other,7.06,Low,67,TutorBot,3,87.5,Yes,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1290,24,Other,9.2,High,40,Emotional Support Bot,3,90.26,Maybe,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1291,17,Male,9.5,Medium,88,TutorBot,5,56.84,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1292,27,Female,6.77,High,84,Emotional Support Bot,3,53.49,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1293,28,Male,6.18,High,43,Chatbot,5,94.67,Yes,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1294,25,Male,8.9,Low,46,TutorBot,5,69.39,Yes,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1295,25,Female,6.37,Low,88,Emotional Support Bot,4,64.39,Yes,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1296,18,Female,9.11,High,48,Feedback System,1,86.23,Maybe,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1297,23,Female,7.12,Medium,75,Emotional Support Bot,4,91.82,No,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1298,26,Other,8.34,Medium,58,TutorBot,4,93.12,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1299,19,Male,5.48,Low,40,Chatbot,5,65.8,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1300,23,Male,8.12,Medium,49,TutorBot,5,92.61,Yes,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1301,28,Other,7.26,High,75,TutorBot,3,52.05,No,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1302,26,Female,7.93,Low,48,Emotional Support Bot,3,52.48,Maybe,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1303,25,Other,5.84,High,84,Feedback System,4,81.18,Yes,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1304,20,Other,8.68,Low,85,TutorBot,2,53.16,Yes,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1305,28,Other,9.31,Low,81,Feedback System,2,66.23,Yes,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1306,17,Male,6.08,Low,71,Emotional Support Bot,3,83.64,Yes,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1307,18,Other,5.48,Low,71,Feedback System,2,66.86,Maybe,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1308,17,Male,5.12,Medium,45,Emotional Support Bot,3,58.98,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1309,28,Male,8.21,High,87,Chatbot,5,64.07,Maybe,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1310,21,Male,8.04,High,77,Feedback System,4,72.88,No,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1311,21,Female,7.73,High,56,Feedback System,1,73.77,Maybe,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1312,27,Male,6.16,Low,49,Chatbot,4,89.15,Yes,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1313,23,Male,6.95,Medium,89,Feedback System,3,87.51,Yes,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1314,25,Female,7.97,High,66,Chatbot,3,72.84,Maybe,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1315,25,Male,7.48,Medium,93,TutorBot,4,92.28,Maybe,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1316,19,Other,9.94,Low,89,Emotional Support Bot,3,55.71,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1317,19,Other,5.68,High,74,Chatbot,2,62.77,Maybe,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1318,19,Male,8.48,Medium,91,Feedback System,2,91.4,Maybe,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1319,20,Female,7.02,Low,98,Chatbot,3,68.9,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1320,24,Other,7.14,Medium,60,Feedback System,3,99.06,No,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1321,22,Female,8.59,High,64,TutorBot,2,73.31,No,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1322,24,Female,8.46,High,67,Chatbot,3,89.6,Maybe,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1323,17,Other,9.96,Low,86,TutorBot,3,70.12,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1324,24,Female,5.64,Low,54,Emotional Support Bot,4,71.25,Yes,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1325,20,Other,5.52,Low,43,Feedback System,1,69.14,Yes,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1326,27,Female,8.62,Medium,68,Feedback System,2,85.95,Yes,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1327,17,Other,7.89,Medium,98,TutorBot,4,77.38,Maybe,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1328,24,Male,6.37,Medium,48,Emotional Support Bot,1,97.19,Yes,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1329,20,Other,5.4,Low,66,Chatbot,3,62.54,Maybe,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1330,22,Other,5.43,High,65,Chatbot,3,55.03,Maybe,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1331,24,Other,9.47,High,58,Feedback System,4,69.66,Yes,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1332,20,Other,5.96,Medium,95,TutorBot,3,80.84,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1333,19,Female,6.62,Medium,67,TutorBot,5,93.04,Maybe,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1334,25,Male,6.13,High,56,Chatbot,4,67.31,Yes,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1335,19,Other,6.77,High,82,Emotional Support Bot,1,82.69,Maybe,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1336,25,Female,5.35,Medium,96,Emotional Support Bot,4,67.51,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1337,29,Male,7.6,Medium,80,Chatbot,2,80.86,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1338,18,Male,5.34,High,81,Chatbot,4,94.24,Yes,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1339,18,Male,9,Low,89,TutorBot,3,61.57,Maybe,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1340,18,Male,6.17,Medium,59,Emotional Support Bot,3,70.21,Maybe,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1341,22,Other,7.7,High,84,Chatbot,5,99.66,Maybe,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1342,19,Other,9.4,High,79,Chatbot,5,93.43,Maybe,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1343,29,Female,8.25,High,78,Feedback System,5,78.23,Yes,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1344,25,Female,7.66,High,88,Chatbot,1,75.83,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1345,20,Female,6.62,Low,92,Chatbot,5,64.23,Yes,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1346,17,Male,6.67,High,62,Emotional Support Bot,1,75.86,Maybe,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1347,20,Male,8.35,Medium,86,TutorBot,5,92.41,Maybe,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1348,17,Other,9.97,Low,71,Emotional Support Bot,1,84.26,No,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1349,21,Male,8.31,High,91,TutorBot,4,64.5,Maybe,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1350,20,Male,7.79,Low,86,Feedback System,4,60.07,Yes,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1351,24,Male,8.65,Medium,72,Chatbot,3,63.26,Yes,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1352,24,Female,7.33,High,96,Feedback System,1,58.49,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1353,23,Female,5.3,Medium,85,TutorBot,2,54.78,Yes,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1354,19,Other,7.81,High,44,Emotional Support Bot,3,70.96,Yes,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1355,17,Male,9.79,High,82,Emotional Support Bot,4,55.66,Yes,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1356,17,Male,5.88,High,87,Feedback System,1,58.6,Yes,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1357,28,Other,8.45,High,73,TutorBot,5,77.37,Maybe,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1358,27,Male,6,High,79,Feedback System,2,58.23,Yes,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1359,19,Male,7.68,Low,50,Feedback System,4,53.19,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1360,22,Female,5.48,High,100,Chatbot,3,65.87,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1361,23,Other,7.25,High,89,Feedback System,1,61.02,Yes,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1362,22,Other,8.78,Low,42,Chatbot,2,75.77,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1363,22,Other,6.74,Low,97,Chatbot,1,55.12,Yes,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1364,22,Other,8.32,Low,72,Emotional Support Bot,5,87.59,No,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1365,29,Female,8.98,Low,50,Chatbot,3,95.31,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1366,19,Female,9.64,Low,55,Chatbot,1,87.17,Yes,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1367,22,Male,6.17,Low,57,Emotional Support Bot,4,76.64,Yes,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1368,24,Male,7,High,69,Feedback System,3,93.03,Maybe,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1369,27,Male,5.76,High,87,TutorBot,4,84.75,Yes,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1370,27,Male,9.96,Medium,94,TutorBot,1,50.53,Yes,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1371,18,Female,9.64,High,49,TutorBot,3,69.7,Maybe,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1372,21,Other,7.7,High,57,Feedback System,4,92.55,Yes,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1373,17,Female,9.21,Low,77,Chatbot,5,67.29,Yes,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1374,28,Male,7.6,Low,58,TutorBot,5,51.76,Maybe,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1375,17,Female,8.12,High,75,Feedback System,1,87.31,Yes,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1376,21,Other,5.45,Medium,98,Chatbot,3,90.1,Yes,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1377,28,Other,8.78,Low,52,Emotional Support Bot,2,58.03,Maybe,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1378,29,Female,5.64,High,95,TutorBot,3,76.87,Maybe,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1379,19,Female,9.13,High,85,Chatbot,5,59.6,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1380,20,Female,8.91,Medium,42,TutorBot,4,85.96,Yes,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1381,19,Male,8.54,Medium,49,TutorBot,2,63.58,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1382,17,Female,5.18,Low,77,TutorBot,1,65.81,No,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1383,17,Female,6.52,Medium,40,Chatbot,2,92.25,Maybe,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1384,28,Female,6.32,High,94,Feedback System,1,73.82,Yes,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1385,28,Other,6.8,High,95,Chatbot,2,83.49,Yes,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1386,29,Other,5.44,Medium,66,TutorBot,1,70.12,Maybe,"Sometimes I manage well, but I do feel pressure during exams.",Neutral,Time Management Technique
S1387,21,Male,9.68,Medium,85,Chatbot,1,64.9,No,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1388,22,Male,7.77,Medium,47,Emotional Support Bot,2,81.27,Maybe,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
S1389,19,Other,6.53,Medium,90,Feedback System,2,57.74,Yes,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1390,28,Other,6.98,Low,85,Chatbot,1,68.65,Maybe,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1391,25,Other,7.24,Medium,81,Emotional Support Bot,5,60.45,Yes,I feel confident in managing my academics and emotions.,Positive,Motivational Boost + Peer Collaboration
S1392,21,Female,8,Low,56,Feedback System,2,84.79,No,I feel overwhelmed and stressed about my studies.,Neutral,Time Management Technique
